,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4079,出畑孝典,40,福岡,52,A2,6.16,46.46,5.11,42.11,44.26,32.14,2019_6_13_23_1R,23,1R
1,2,3809,吉田光,44,佐賀,48,B1,4.89,30.49,5.42,38.10,36.41,29.63,2019_6_13_23_1R,23,1R
2,3,4971,秦直也,27,岡山,53,B2,2.31,4.48,1.33,0.00,42.86,29.79,2019_6_13_23_1R,23,1R
3,4,4894,原村拓也,28,香川,53,B1,3.14,6.90,2.64,10.71,43.17,35.85,2019_6_13_23_1R,23,1R
4,5,5011,高木圭大,22,長崎,52,B1,1.90,1.45,1.71,0.00,39.46,36.54,2019_6_13_23_1R,23,1R
5,6,5000,岡本翔太,24,山口,50,B2,3.30,13.51,1.50,0.00,31.94,32.65,2019_6_13_23_1R,23,1R
6,1,3777,樋口亮,43,長崎,50,A1,5.91,40.94,6.47,47.37,24.47,28.89,2019_6_13_23_2R,23,2R
7,2,4703,森永隆,31,山口,51,A2,5.91,37.38,5.38,31.25,35.32,33.33,2019_6_13_23_2R,23,2R
8,3,3794,前田昭広,46,佐賀,58,B1,2.77,12.16,3.90,23.08,30.57,45.45,2019_6_13_23_2R,23,2R
9,4,4038,田中健太,40,岡山,57,B1,3.95,19.18,5.05,23.26,38.66,19.57,2019_6_13_23_2R,23,2R
10,5,5025,粟田祥,24,徳島,59,B2,1.53,0.00,1.38,0.00,36.32,33.96,2019_6_13_23_2R,23,2R
11,6,4979,中野夢斗,23,愛知,53,B1,3.70,13.75,0.00,0.00,37.95,49.09,2019_6_13_23_2R,23,2R
12,1,3297,藤丸光一,52,福岡,51,A2,6.43,53.76,7.04,57.78,33.84,37.50,2019_6_13_23_3R,23,3R
13,2,4859,染川直哉,31,埼玉,51,B1,4.36,23.38,3.00,11.11,37.50,30.91,2019_6_13_23_3R,23,3R
14,3,3304,烏野賢太,51,徳島,52,A1,6.53,49.28,6.06,36.11,32.46,27.08,2019_6_13_23_3R,23,3R
15,4,3325,福本忠治,51,長崎,53,B1,3.47,11.29,3.61,18.42,37.81,31.82,2019_6_13_23_3R,23,3R
16,5,3411,池上隆行,49,広島,50,B1,3.71,9.23,4.16,19.64,45.16,38.00,2019_6_13_23_3R,23,3R
17,6,3661,柳瀬興志,49,山口,58,B1,4.81,23.36,3.75,6.25,39.71,40.00,2019_6_13_23_3R,23,3R
18,1,3902,蜷川哲平,42,東京,54,A2,5.96,40.71,4.56,25.00,27.55,18.37,2019_6_13_23_4R,23,4R
19,2,4037,別府正幸,40,福岡,55,B1,4.67,22.86,3.95,21.62,41.40,26.67,2019_6_13_23_4R,23,4R
20,3,2844,田中伸二,62,広島,53,B1,4.50,30.00,4.34,28.95,38.80,33.33,2019_6_13_23_4R,23,4R
21,4,4413,水摩敦,33,福岡,50,A1,6.35,45.83,6.06,35.48,41.80,34.04,2019_6_13_23_4R,23,4R
22,5,3164,森脇徹,58,山口,52,B1,3.41,11.76,3.65,23.53,34.20,39.22,2019_6_13_23_4R,23,4R
23,6,4506,稗田聖也,31,福岡,52,A2,5.52,38.33,5.95,42.86,27.69,34.62,2019_6_13_23_4R,23,4R
24,1,3734,宮田政勝,45,福岡,51,B1,4.44,24.69,5.79,36.36,33.84,32.69,2019_6_13_23_5R,23,5R
25,2,3832,下田哲也,44,香川,53,A2,5.25,25.49,6.35,45.16,32.99,19.23,2019_6_13_23_5R,23,5R
26,3,4133,高橋正男,38,兵庫,53,A1,5.95,45.60,6.20,48.00,44.91,22.92,2019_6_13_23_5R,23,5R
27,4,4070,中村亮太,38,長崎,53,A2,6.53,54.46,7.68,65.96,35.68,30.00,2019_6_13_23_5R,23,5R
28,5,3623,深川真二,45,佐賀,50,A1,7.80,66.39,7.52,65.83,34.15,26.79,2019_6_13_23_5R,23,5R
29,6,4894,原村拓也,28,香川,53,B1,3.14,6.90,2.64,10.71,43.17,35.85,2019_6_13_23_5R,23,5R
30,1,3800,牧宏次,45,東京,51,A1,6.48,47.31,0.00,0.00,31.96,53.06,2019_6_13_23_6R,23,6R
31,2,4112,大久保信,38,佐賀,52,A2,5.94,41.00,6.43,47.37,34.45,29.55,2019_6_13_23_6R,23,6R
32,3,3745,橋本年光,44,兵庫,53,A2,5.80,33.33,5.93,40.74,30.53,43.14,2019_6_13_23_6R,23,6R
33,4,4979,中野夢斗,23,愛知,53,B1,3.70,13.75,0.00,0.00,37.95,49.09,2019_6_13_23_6R,23,6R
34,5,4034,西原明生,40,香川,53,B1,4.28,24.47,4.53,23.53,42.33,28.85,2019_6_13_23_6R,23,6R
35,6,5011,高木圭大,22,長崎,52,B1,1.90,1.45,1.71,0.00,39.46,36.54,2019_6_13_23_6R,23,6R
36,1,3411,池上隆行,49,広島,50,B1,3.71,9.23,4.16,19.64,45.16,38.00,2019_6_13_23_7R,23,7R
37,2,4971,秦直也,27,岡山,53,B2,2.31,4.48,1.33,0.00,42.86,29.79,2019_6_13_23_7R,23,7R
