,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4316,山口裕太,38,広島,53,B1,4.46,26.23,3.46,15.38,32.31,36.67,2022_11_9_24_1R,24,1R
1,2,3982,福田理,45,岡山,55,B1,4.52,22.62,4.73,23.08,39.06,26.23,2022_11_9_24_1R,24,1R
2,3,3617,竹田広樹,49,佐賀,55,B1,4.47,29.69,4.00,16.67,34.72,21.67,2022_11_9_24_1R,24,1R
3,4,4325,新出浩司,39,大阪,53,B1,5.06,29.90,4.42,31.58,37.14,26.56,2022_11_9_24_1R,24,1R
4,5,4271,川崎公靖,40,広島,51,B1,4.66,26.72,4.06,16.67,23.81,43.55,2022_11_9_24_1R,24,1R
5,6,4088,野田祥子,42,長崎,48,B1,3.94,19.35,4.70,31.03,39.13,31.25,2022_11_9_24_1R,24,1R
6,1,4112,大久保信,42,佐賀,52,B1,5.98,41.67,5.76,37.97,41.27,30.65,2022_11_9_24_2R,24,2R
7,2,4713,白神優,32,岡山,54,A2,5.64,34.38,7.17,55.56,40.85,31.75,2022_11_9_24_2R,24,2R
8,3,4463,三苫晃幸,36,福岡,54,A1,5.74,39.09,6.39,47.83,20.00,28.33,2022_11_9_24_2R,24,2R
9,4,3564,桑原啓,52,福岡,54,B1,5.32,37.19,4.93,27.27,31.58,33.33,2022_11_9_24_2R,24,2R
10,5,3663,木山和幸,52,広島,51,B1,5.06,30.97,5.56,44.44,40.54,31.67,2022_11_9_24_2R,24,2R
11,6,4111,奥田誠,42,広島,53,B1,5.45,34.67,5.39,39.29,25.00,32.81,2022_11_9_24_2R,24,2R
12,1,3477,近藤稔也,52,徳島,55,B1,3.91,9.38,3.42,16.67,45.71,32.81,2022_11_9_24_3R,24,3R
13,2,4684,楠原翔太,31,福岡,55,A2,5.92,40.38,5.63,34.38,41.67,28.33,2022_11_9_24_3R,24,3R
14,3,4924,中北涼,30,長崎,46,B1,4.52,20.93,4.36,23.96,44.62,26.67,2022_11_9_24_3R,24,3R
15,4,3522,長溝一生,54,佐賀,51,A2,5.64,34.78,6.28,45.13,43.28,45.31,2022_11_9_24_3R,24,3R
16,5,4006,小野勇作,44,佐賀,51,A2,5.15,29.47,6.60,44.00,30.00,32.81,2022_11_9_24_3R,24,3R
17,6,3788,一宮稔弘,51,徳島,53,B1,5.58,37.78,6.48,54.55,36.51,38.71,2022_11_9_24_3R,24,3R
18,1,4551,三川昂暁,33,福岡,55,A2,5.41,36.97,5.46,35.38,46.97,40.00,2022_11_9_24_4R,24,4R
19,2,4136,江夏満,42,福岡,55,A1,6.52,46.90,6.77,48.84,36.49,46.67,2022_11_9_24_4R,24,4R
20,3,3584,佐々木英,49,広島,53,B1,4.96,29.35,5.71,38.24,42.03,44.07,2022_11_9_24_4R,24,4R
21,4,4635,峰重力也,32,岡山,54,B1,3.94,22.86,4.22,22.39,36.76,28.13,2022_11_9_24_4R,24,4R
22,5,5203,神里琴音,18,福岡,46,B2,2.80,7.32,2.95,4.55,38.81,15.25,2022_11_9_24_4R,24,4R
23,6,3527,中嶋誠一,51,長崎,52,A2,5.52,33.68,5.68,35.59,35.62,30.51,2022_11_9_24_4R,24,4R
24,1,4121,富永修一,40,福岡,52,B1,6.11,45.00,5.66,36.36,32.35,41.67,2022_11_9_24_5R,24,5R
25,2,5129,山口真喜,25,長崎,47,B1,4.71,26.58,3.56,12.20,42.86,38.33,2022_11_9_24_5R,24,5R
26,3,4544,松田大志,34,福岡,51,A1,6.87,55.47,7.39,59.18,34.29,33.85,2022_11_9_24_5R,24,5R
27,4,4316,山口裕太,38,広島,53,B1,4.46,26.23,3.46,15.38,32.31,36.67,2022_11_9_24_5R,24,5R
28,5,3919,村上純,47,岡山,53,A1,5.90,42.42,5.71,41.38,36.36,46.67,2022_11_9_24_5R,24,5R
29,6,3507,藤井徹,51,大阪,51,B1,5.01,28.72,6.00,44.44,22.22,38.10,2022_11_9_24_5R,24,5R
30,1,4293,鈴木智啓,37,愛知,59,A2,5.10,29.57,5.75,43.75,15.79,45.00,2022_11_9_24_6R,24,6R
31,2,4325,新出浩司,39,大阪,53,B1,5.06,29.90,4.42,31.58,37.14,26.56,2022_11_9_24_6R,24,6R
32,3,3537,田山和広,54,福岡,56,B1,3.07,14.29,4.60,10.00,41.43,46.03,2022_11_9_24_6R,24,6R
33,4,4704,河野大,34,徳島,51,A1,6.26,48.15,5.54,33.85,50.00,22.03,2022_11_9_24_6R,24,6R
34,5,3579,中里優子,49,埼玉,47,A2,6.59,48.78,5.82,40.91,44.29,37.10,2022_11_9_24_6R,24,6R
35,6,3747,國崎良春,47,福岡,52,A2,5.80,40.16,5.27,26.67,40.28,32.81,2022_11_9_24_6R,24,6R
36,1,4006,小野勇作,44,佐賀,51,A2,5.15,29.47,6.60,44.00,30.00,32.81,2022_11_9_24_7R,24,7R
37,2,4508,野間大樹,34,大阪,49,B1,4.08,21.57,4.35,29.41,49.30,28.33,2022_11_9_24_7R,24,7R
38,3,4500,山田康二,34,佐賀,53,A1,7.39,54.64,7.40,53.33,27.12,33.33,2022_11_9_24_7R,24,7R
