,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,2912,尾崎鉄也,66,長崎,57,B1,3.53,16.44,4.47,26.32,33.83,41.55,2022_5_26_24_1R,24,1R
1,2,4709,岡村将也,32,福岡,54,B1,5.05,32.53,4.73,23.08,32.51,32.68,2022_5_26_24_1R,24,1R
2,3,4955,福田慶尚,27,広島,52,B1,3.40,12.73,4.50,33.33,35.08,29.02,2022_5_26_24_1R,24,1R
3,4,4252,松下哲也,39,福岡,52,B1,4.43,26.04,4.64,23.81,37.67,32.99,2022_5_26_24_1R,24,1R
4,5,4966,田川大貴,24,長崎,53,B1,5.13,26.04,5.47,32.73,31.63,36.54,2022_5_26_24_1R,24,1R
5,6,5250,嶋田有里,19,長崎,49,B2,0.00,0.00,0.00,0.00,42.18,39.18,2022_5_26_24_1R,24,1R
6,1,3025,山口哲治,60,長崎,51,B1,4.14,21.79,4.79,23.16,32.51,27.23,2022_5_26_24_2R,24,2R
7,2,4423,坂口貴彦,33,岡山,55,B1,5.19,29.91,5.00,35.48,29.44,34.48,2022_5_26_24_2R,24,2R
8,3,4241,大串重幸,37,長崎,54,B1,5.25,30.91,5.28,34.47,33.01,41.95,2022_5_26_24_2R,24,2R
9,4,3741,松尾基成,48,福岡,56,B1,4.21,19.40,4.40,22.58,35.14,26.20,2022_5_26_24_2R,24,2R
10,5,4661,中島昂章,30,佐賀,51,B1,5.49,31.09,5.09,31.17,45.50,30.85,2022_5_26_24_2R,24,2R
11,6,3251,平石和男,55,埼玉,51,A2,5.91,41.22,4.78,22.22,37.85,37.00,2022_5_26_24_2R,24,2R
12,1,3243,佐野隆仁,57,大阪,53,B1,3.83,23.08,3.59,22.73,30.89,35.47,2022_5_26_24_3R,24,3R
13,2,5055,眞鳥章太,26,長崎,53,B1,4.59,16.67,4.63,25.00,31.71,32.49,2022_5_26_24_3R,24,3R
14,3,4330,奈須啓太,38,福岡,52,A1,6.19,43.00,6.14,41.67,39.17,31.34,2022_5_26_24_3R,24,3R
15,4,5195,北村寧々,20,長崎,43,B2,2.09,5.17,1.25,0.00,48.06,34.76,2022_5_26_24_3R,24,3R
16,5,4574,東潤樹,33,広島,52,B1,5.32,26.83,5.22,27.45,41.59,35.61,2022_5_26_24_3R,24,3R
17,6,4762,藤原啓史,32,岡山,49,A2,6.36,48.57,6.62,48.28,41.04,34.33,2022_5_26_24_3R,24,3R
18,1,3273,石田豪,56,広島,52,B1,4.52,23.14,3.73,12.20,33.33,31.84,2022_5_26_24_4R,24,4R
