,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3564,桑原啓,52,福岡,54,B1,5.32,37.19,4.93,27.27,31.58,33.33,2022_11_8_24_1R,24,1R
1,2,4112,大久保信,42,佐賀,52,B1,5.98,41.67,5.76,37.97,41.27,30.65,2022_11_8_24_1R,24,1R
2,3,4271,川崎公靖,40,広島,51,B1,4.66,26.72,4.06,16.67,23.81,43.55,2022_11_8_24_1R,24,1R
3,4,4508,野間大樹,34,大阪,49,B1,4.08,21.57,4.35,29.41,49.30,28.33,2022_11_8_24_1R,24,1R
4,5,4202,浮田圭浩,40,岡山,55,B1,4.36,25.00,5.75,25.00,14.52,32.26,2022_11_8_24_1R,24,1R
5,6,3477,近藤稔也,52,徳島,55,B1,3.91,9.38,3.42,16.67,45.71,32.81,2022_11_8_24_1R,24,1R
6,1,3537,田山和広,54,福岡,56,B1,3.07,14.29,4.60,10.00,41.43,46.03,2022_11_8_24_2R,24,2R
7,2,4111,奥田誠,42,広島,53,B1,5.45,34.67,5.39,39.29,25.00,32.81,2022_11_8_24_2R,24,2R
8,3,3527,中嶋誠一,51,長崎,52,A2,5.52,33.68,5.68,35.59,35.62,30.51,2022_11_8_24_2R,24,2R
9,4,3507,藤井徹,51,大阪,51,B1,5.01,28.72,6.00,44.44,22.22,38.10,2022_11_8_24_2R,24,2R
10,5,4316,山口裕太,38,広島,53,B1,4.46,26.23,3.46,15.38,32.31,36.67,2022_11_8_24_2R,24,2R
11,6,4369,丹下将,37,愛知,58,A2,5.96,44.34,0.00,0.00,41.18,38.10,2022_11_8_24_2R,24,2R
12,1,3982,福田理,45,岡山,55,B1,4.52,22.62,4.73,23.08,39.06,26.23,2022_11_8_24_3R,24,3R
13,2,4544,松田大志,34,福岡,51,A1,6.87,55.47,7.39,59.18,34.29,36.84,2022_11_8_24_3R,24,3R
14,3,3297,藤丸光一,55,福岡,50,A2,5.60,35.87,5.92,46.00,24.62,47.46,2022_11_8_24_3R,24,3R
15,4,4088,野田祥子,42,長崎,48,B1,3.94,19.35,4.70,31.03,39.13,31.25,2022_11_8_24_3R,24,3R
16,5,4121,富永修一,40,福岡,52,B1,6.11,45.00,5.66,36.36,32.35,41.67,2022_11_8_24_3R,24,3R
17,6,4006,小野勇作,44,佐賀,51,A2,5.15,29.47,6.60,44.00,30.00,32.81,2022_11_8_24_3R,24,3R
18,1,3617,竹田広樹,49,佐賀,55,B1,4.47,29.69,4.00,16.67,34.72,21.67,2022_11_8_24_4R,24,4R
19,2,4463,三苫晃幸,36,福岡,54,A1,5.74,39.09,6.39,47.83,20.00,28.33,2022_11_8_24_4R,24,4R
20,3,4635,峰重力也,32,岡山,54,B1,3.94,22.86,4.22,22.39,36.76,28.13,2022_11_8_24_4R,24,4R
21,4,4325,新出浩司,39,大阪,53,B1,5.06,29.90,4.42,31.58,37.14,26.56,2022_11_8_24_4R,24,4R
22,5,3747,國崎良春,47,福岡,52,A2,5.80,40.16,5.27,26.67,40.28,32.81,2022_11_8_24_4R,24,4R
23,6,3919,村上純,47,岡山,53,A1,5.90,42.42,5.71,41.38,36.36,46.67,2022_11_8_24_4R,24,4R
24,1,3663,木山和幸,52,広島,51,B1,5.06,30.97,5.56,44.44,40.54,31.67,2022_11_8_24_5R,24,5R
25,2,4202,浮田圭浩,40,岡山,55,B1,4.36,25.00,5.75,25.00,14.52,32.26,2022_11_8_24_5R,24,5R
26,3,4136,江夏満,42,福岡,55,A1,6.52,46.90,6.77,48.84,36.49,46.67,2022_11_8_24_5R,24,5R
27,4,4546,浜田亜理,34,埼玉,47,A2,6.56,49.57,7.18,57.78,35.29,38.98,2022_11_8_24_5R,24,5R
28,5,4293,鈴木智啓,37,愛知,59,A2,5.10,29.57,5.75,43.75,15.79,45.00,2022_11_8_24_5R,24,5R
29,6,3522,長溝一生,54,佐賀,51,A2,5.64,34.78,6.28,45.13,43.28,45.31,2022_11_8_24_5R,24,5R
30,1,4684,楠原翔太,31,福岡,55,A2,5.92,40.38,5.63,34.38,41.67,28.33,2022_11_8_24_6R,24,6R
31,2,4471,新田泰章,35,広島,51,A2,6.31,43.90,4.94,37.50,43.48,33.90,2022_11_8_24_6R,24,6R
32,3,4508,野間大樹,34,大阪,49,B1,4.08,21.57,4.35,29.41,49.30,28.33,2022_11_8_24_6R,24,6R
33,4,3537,田山和広,54,福岡,56,B1,3.07,14.29,4.60,10.00,41.43,46.03,2022_11_8_24_6R,24,6R
34,5,4500,山田康二,34,佐賀,53,A1,7.39,54.64,7.40,53.33,27.12,33.33,2022_11_8_24_6R,24,6R
35,6,3584,佐々木英,49,広島,53,B1,4.96,29.35,5.71,38.24,42.03,44.07,2022_11_8_24_6R,24,6R
36,1,3297,藤丸光一,55,福岡,50,A2,5.60,35.87,5.92,46.00,24.62,47.46,2022_11_8_24_7R,24,7R
37,2,4271,川崎公靖,40,広島,51,B1,4.66,26.72,4.06,16.67,23.81,43.55,2022_11_8_24_7R,24,7R
38,3,4551,三川昂暁,33,福岡,55,A2,5.41,36.97,5.46,35.38,46.97,40.00,2022_11_8_24_7R,24,7R
39,4,4498,宮本夏樹,35,長崎,52,A2,5.43,35.51,5.50,38.61,19.35,28.13,2022_11_8_24_7R,24,7R
40,5,3507,藤井徹,51,大阪,51,B1,5.01,28.72,6.00,44.44,22.22,38.10,2022_11_8_24_7R,24,7R
41,6,5203,神里琴音,18,福岡,46,B2,2.80,7.32,2.95,4.55,38.81,15.25,2022_11_8_24_7R,24,7R
42,1,3527,中嶋誠一,51,長崎,52,A2,5.52,33.68,5.68,35.59,35.62,30.51,2022_11_8_24_8R,24,8R
43,2,4704,河野大,34,徳島,51,A1,6.26,48.15,5.54,33.85,50.00,22.03,2022_11_8_24_8R,24,8R
44,3,4713,白神優,32,岡山,54,A2,5.64,34.38,7.17,55.56,40.85,31.75,2022_11_8_24_8R,24,8R
45,4,3617,竹田広樹,49,佐賀,55,B1,4.47,29.69,4.00,16.67,34.72,21.67,2022_11_8_24_8R,24,8R
46,5,3788,一宮稔弘,51,徳島,53,B1,5.58,37.78,6.48,54.55,36.51,38.71,2022_11_8_24_8R,24,8R
47,6,4544,松田大志,34,福岡,51,A1,6.87,55.47,7.39,59.18,34.29,36.84,2022_11_8_24_8R,24,8R
48,1,3579,中里優子,49,埼玉,47,A2,6.59,48.78,5.82,40.91,44.29,37.10,2022_11_8_24_9R,24,9R
49,2,4901,出口舞有,29,愛知,45,A2,5.21,33.93,5.39,33.33,42.25,43.33,2022_11_8_24_9R,24,9R
50,3,4088,野田祥子,42,長崎,48,B1,3.94,19.35,4.70,31.03,39.13,31.25,2022_11_8_24_9R,24,9R
51,4,5129,山口真喜,25,長崎,47,B1,4.71,26.58,3.56,12.20,42.86,38.33,2022_11_8_24_9R,24,9R
52,5,4924,中北涼,30,長崎,46,B1,4.52,20.93,4.36,23.96,44.62,26.67,2022_11_8_24_9R,24,9R
53,6,4546,浜田亜理,34,埼玉,47,A2,6.56,49.57,7.18,57.78,35.29,38.98,2022_11_8_24_9R,24,9R
54,1,4471,新田泰章,35,広島,51,A2,6.31,43.90,4.94,37.50,43.48,33.90,2022_11_8_24_10R,24,10R
55,2,3919,村上純,47,岡山,53,A1,5.90,42.42,5.71,41.38,36.36,46.67,2022_11_8_24_10R,24,10R
56,3,3564,桑原啓,52,福岡,54,B1,5.32,37.19,4.93,27.27,31.58,33.33,2022_11_8_24_10R,24,10R
57,4,3982,福田理,45,岡山,55,B1,4.52,22.62,4.73,23.08,39.06,26.23,2022_11_8_24_10R,24,10R
58,5,4369,丹下将,37,愛知,58,A2,5.96,44.34,0.00,0.00,41.18,38.10,2022_11_8_24_10R,24,10R
59,6,4293,鈴木智啓,37,愛知,59,A2,5.10,29.57,5.75,43.75,15.79,45.00,2022_11_8_24_10R,24,10R
60,1,4136,江夏満,42,福岡,55,A1,6.52,46.90,6.77,48.84,36.49,46.67,2022_11_8_24_11R,24,11R
61,2,4006,小野勇作,44,佐賀,51,A2,5.15,29.47,6.60,44.00,30.00,32.81,2022_11_8_24_11R,24,11R
62,3,4498,宮本夏樹,35,長崎,52,A2,5.43,35.51,5.50,38.61,19.35,28.13,2022_11_8_24_11R,24,11R
63,4,4316,山口裕太,38,広島,53,B1,4.46,26.23,3.46,15.38,32.31,36.67,2022_11_8_24_11R,24,11R
64,5,4684,楠原翔太,31,福岡,55,A2,5.92,40.38,5.63,34.38,41.67,28.33,2022_11_8_24_11R,24,11R
65,6,4463,三苫晃幸,36,福岡,54,A1,5.74,39.09,6.39,47.83,20.00,28.33,2022_11_8_24_11R,24,11R
66,1,4500,山田康二,34,佐賀,53,A1,7.39,54.64,7.40,53.33,27.12,33.33,2022_11_8_24_12R,24,12R
67,2,3747,國崎良春,47,福岡,52,A2,5.80,40.16,5.27,26.67,40.28,32.81,2022_11_8_24_12R,24,12R
68,3,3522,長溝一生,54,佐賀,51,A2,5.64,34.78,6.28,45.13,43.28,45.31,2022_11_8_24_12R,24,12R
69,4,4121,富永修一,40,福岡,52,B1,6.11,45.00,5.66,36.36,32.35,41.67,2022_11_8_24_12R,24,12R
70,5,4704,河野大,34,徳島,51,A1,6.26,48.15,5.54,33.85,50.00,22.03,2022_11_8_24_12R,24,12R
71,6,4551,三川昂暁,33,福岡,55,A2,5.41,36.97,5.46,35.38,46.97,40.00,2022_11_8_24_12R,24,12R
72,1,4152,深水慎一,42,東京,54,A2,5.44,36.99,0.00,0.00,39.78,46.38,2022_11_8_22_1R,22,1R
73,2,3411,池上隆行,53,広島,51,B1,4.20,15.00,3.89,15.79,28.57,56.76,2022_11_8_22_1R,22,1R
74,3,4632,長尾京志,33,福岡,52,B1,5.18,30.77,5.15,33.78,39.53,30.43,2022_11_8_22_1R,22,1R
75,4,4346,前田健太,37,福岡,54,B1,4.84,26.73,4.77,27.73,35.71,28.81,2022_11_8_22_1R,22,1R
76,5,4705,吉川勇作,34,長崎,56,B1,4.44,22.92,4.33,17.78,35.53,32.35,2022_11_8_22_1R,22,1R
77,6,3571,寺本武司,51,長崎,52,B1,4.10,20.29,4.11,17.19,43.28,21.74,2022_11_8_22_1R,22,1R
78,1,3746,岡瀬正人,47,岡山,52,A1,6.32,48.03,6.10,40.48,22.58,33.75,2022_11_8_22_2R,22,2R
79,2,5169,堀本翔太,21,愛知,49,B1,1.89,3.13,0.00,0.00,39.13,31.82,2022_11_8_22_2R,22,2R
80,3,3807,岡部哲,48,埼玉,51,B1,5.33,37.97,4.67,19.05,29.27,38.57,2022_11_8_22_2R,22,2R
81,4,5223,森清友翔,21,福岡,55,B2,1.65,0.00,1.50,0.00,38.14,30.77,2022_11_8_22_2R,22,2R
82,5,5209,小野京平,24,福岡,56,B2,1.45,1.52,1.24,0.00,41.94,32.86,2022_11_8_22_2R,22,2R
83,6,4499,滝川真由,35,長崎,46,A2,5.98,38.64,4.00,14.29,25.93,37.88,2022_11_8_22_2R,22,2R
84,1,3967,鈴木茂高,43,愛知,60,B1,4.69,24.27,4.80,20.00,20.00,36.11,2022_11_8_22_3R,22,3R
85,2,4695,尾崎雄二,37,長崎,54,B1,4.86,29.35,3.82,17.78,33.33,38.57,2022_11_8_22_3R,22,3R
86,3,3346,宮本裕之,55,兵庫,52,B1,4.21,19.51,4.03,25.00,30.95,29.58,2022_11_8_22_3R,22,3R
87,4,4446,和田兼輔,35,兵庫,52,A1,6.98,52.21,5.77,46.15,25.00,14.55,2022_11_8_22_3R,22,3R
88,5,4942,柴田朋哉,32,福岡,52,B1,4.05,11.29,4.58,23.23,28.57,26.09,2022_11_8_22_3R,22,3R
89,6,3442,宮武英司,53,香川,55,B1,5.49,28.74,5.66,37.50,31.40,31.94,2022_11_8_22_3R,22,3R
90,1,5045,平川香織,22,埼玉,46,B2,4.89,34.09,4.38,25.00,27.71,24.00,2022_11_8_22_4R,22,4R
91,2,4744,伊藤玲奈,30,福岡,46,B1,4.05,10.91,4.60,20.00,22.95,42.25,2022_11_8_22_4R,22,4R
92,3,5177,松井貫太,26,福岡,50,B2,2.17,1.11,2.06,2.04,41.41,34.67,2022_11_8_22_4R,22,4R
93,4,4771,下寺秀和,29,広島,55,A2,6.74,52.89,5.98,44.58,29.41,21.54,2022_11_8_22_4R,22,4R
94,5,4813,宮内直哉,32,東京,53,B1,4.96,35.29,0.00,0.00,43.53,15.07,2022_11_8_22_4R,22,4R
