,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4848,仲谷颯仁,25,福岡,50,A1,6.37,43.66,7.52,54.69,28.57,30.99,2019_11_10_22_1R,22,1R
1,2,4571,菅章哉,31,徳島,51,A1,6.66,54.62,7.60,70.00,33.91,25.58,2019_11_10_22_1R,22,1R
2,3,4150,山田雄太,37,静岡,55,A1,6.67,50.44,6.70,50.00,32.17,43.18,2019_11_10_22_1R,22,1R
3,4,4218,吉川喜継,38,滋賀,52,A1,6.05,37.61,6.77,53.33,38.89,30.21,2019_11_10_22_1R,22,1R
4,5,3837,秋山広一,44,香川,50,A1,7.14,57.52,5.90,38.10,25.20,39.29,2019_11_10_22_1R,22,1R
5,6,4084,杉山正樹,40,愛知,54,A1,6.91,46.67,6.65,52.94,44.44,29.67,2019_11_10_22_1R,22,1R
6,1,4096,石橋道友,37,長崎,53,A1,6.25,45.37,5.94,31.25,23.26,34.07,2019_11_10_22_2R,22,2R
7,2,4831,羽野直也,24,福岡,52,A1,6.68,42.86,7.20,56.25,40.00,46.43,2019_11_10_22_2R,22,2R
8,3,3959,坪井康晴,42,静岡,53,A1,7.27,52.67,5.89,27.78,38.74,25.00,2019_11_10_22_2R,22,2R
9,4,4537,渡邉和将,29,岡山,50,A1,7.31,57.63,7.03,51.52,39.74,35.05,2019_11_10_22_2R,22,2R
10,5,4415,下出卓矢,32,福井,54,A1,6.79,48.76,2.75,0.00,38.38,39.47,2019_11_10_22_2R,22,2R
11,6,4371,西山貴浩,32,福岡,51,A1,6.93,49.14,7.14,50.00,27.06,39.44,2019_11_10_22_2R,22,2R
12,1,3826,村田修次,46,東京,51,A1,6.51,47.41,6.40,60.00,35.71,31.46,2019_11_10_22_3R,22,3R
13,2,4686,丸野一樹,28,滋賀,51,A1,7.43,58.87,6.36,40.91,31.58,45.98,2019_11_10_22_3R,22,3R
14,3,4070,中村亮太,38,長崎,51,A1,6.51,50.00,7.56,66.67,34.02,38.04,2019_11_10_22_3R,22,3R
15,4,2992,今村豊,58,山口,51,A1,6.67,39.13,7.29,45.71,44.90,30.23,2019_11_10_22_3R,22,3R
16,5,4885,大山千広,23,福岡,46,A1,7.52,55.97,6.37,42.59,39.08,37.50,2019_11_10_22_3R,22,3R
17,6,3304,烏野賢太,51,徳島,52,A1,6.08,41.41,6.15,50.00,38.46,32.95,2019_11_10_22_3R,22,3R
18,1,3679,飯島昌弘,46,埼玉,52,A1,6.55,38.64,7.44,52.00,50.00,24.71,2019_11_10_22_4R,22,4R
19,2,4025,山本隆幸,42,兵庫,51,A1,6.61,48.97,6.46,46.43,25.33,42.11,2019_11_10_22_4R,22,4R
20,3,4168,石野貴之,37,大阪,50,A1,7.41,52.85,7.88,53.13,35.48,30.00,2019_11_10_22_4R,22,4R
21,4,4482,守屋美穂,30,岡山,45,A1,7.58,65.25,6.30,45.00,46.34,45.36,2019_11_10_22_4R,22,4R
22,5,3502,渡邉英児,50,静岡,52,A1,6.58,50.77,7.39,58.33,29.41,42.11,2019_11_10_22_4R,22,4R
23,6,4108,吉村正明,39,山口,49,A1,7.01,53.98,7.89,66.67,33.33,42.05,2019_11_10_22_4R,22,4R
24,1,4075,中野次郎,38,東京,51,A1,6.94,41.98,6.69,43.10,60.76,39.56,2019_11_10_22_5R,22,5R
25,2,3783,瓜生正義,43,福岡,50,A1,7.37,48.62,7.64,60.23,37.37,36.00,2019_11_10_22_5R,22,5R
26,3,4427,秦英悟,34,大阪,52,A1,6.77,50.00,7.18,55.26,37.84,29.89,2019_11_10_22_5R,22,5R
27,4,4571,菅章哉,31,徳島,51,A1,6.66,54.62,7.60,70.00,33.91,25.58,2019_11_10_22_5R,22,5R
