,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4292,麻生慎介,36,広島,51,A1,6.45,50.77,7.07,51.85,23.94,25.75,2022_1_23_23_1R,23,1R
1,2,3964,宮地博士,42,長崎,55,B1,4.08,13.27,3.43,4.35,17.39,33.87,2022_1_23_23_1R,23,1R
2,3,3993,永井聖美,43,東京,49,B1,5.03,28.13,5.29,42.86,34.72,31.25,2022_1_23_23_1R,23,1R
3,4,3775,泉啓文,47,岡山,59,B1,4.43,26.42,5.09,33.33,23.61,24.71,2022_1_23_23_1R,23,1R
4,5,4557,松尾光広,32,岡山,56,B1,3.78,17.19,4.36,30.91,28.95,34.74,2022_1_23_23_1R,23,1R
5,6,5227,川原愛未,19,福岡,47,B2,1.79,4.17,0.00,0.00,37.50,31.58,2022_1_23_23_1R,23,1R
6,1,3435,寺田千恵,52,岡山,44,A1,6.65,48.46,7.00,60.00,34.38,40.64,2022_1_23_23_2R,23,2R
7,2,4230,濱崎直矢,38,埼玉,53,A1,6.33,48.15,0.00,0.00,26.76,36.22,2022_1_23_23_2R,23,2R
8,3,3858,織田猛,48,佐賀,52,B1,3.76,20.73,4.21,23.40,32.89,27.17,2022_1_23_23_2R,23,2R
9,4,4062,後藤陽介,42,愛知,56,B1,5.17,32.31,0.00,0.00,26.76,48.85,2022_1_23_23_2R,23,2R
10,5,4695,尾崎雄二,36,長崎,53,B1,4.34,15.96,3.93,22.50,23.88,33.52,2022_1_23_23_2R,23,2R
11,6,3809,吉田光,46,佐賀,49,B1,5.00,27.36,5.04,30.43,32.89,29.95,2022_1_23_23_2R,23,2R
12,1,3915,繁野谷圭,47,大阪,52,A1,6.64,47.01,6.58,47.37,25.97,42.49,2022_1_23_23_3R,23,3R
13,2,3741,松尾基成,47,福岡,57,B1,4.57,23.15,5.60,46.67,24.36,30.51,2022_1_23_23_3R,23,3R
14,3,4065,金田幸子,42,岡山,43,A2,5.61,40.34,4.60,30.00,23.53,25.42,2022_1_23_23_3R,23,3R
15,4,3784,中島友和,45,佐賀,52,B1,5.09,34.75,5.91,48.35,26.03,35.98,2022_1_23_23_3R,23,3R
16,5,5148,松本怜,27,福岡,47,B2,2.12,3.37,0.00,0.00,40.82,35.45,2022_1_23_23_3R,23,3R
17,6,5193,米丸乃絵,20,福岡,47,B2,1.79,3.77,2.50,0.00,36.17,36.02,2022_1_23_23_3R,23,3R
18,1,4051,清水敦揮,40,岡山,55,A1,6.61,46.67,5.80,36.59,46.38,25.00,2022_1_23_23_4R,23,4R
19,2,3070,山室展弘,60,岡山,51,B1,6.08,43.40,6.74,48.39,12.07,27.75,2022_1_23_23_4R,23,4R
20,3,3175,渡辺千草,58,東京,47,B1,5.55,31.03,4.79,15.79,28.38,29.05,2022_1_23_23_4R,23,4R
21,4,4650,中山雄太,37,愛知,53,A1,6.04,37.50,6.60,50.00,22.54,37.02,2022_1_23_23_4R,23,4R
22,5,3439,大平誉史,52,大阪,52,A2,5.71,41.80,5.49,40.54,21.57,40.32,2022_1_23_23_4R,23,4R
23,6,3352,小川晃司,53,福岡,50,B1,4.22,16.35,5.34,34.48,38.46,31.72,2022_1_23_23_4R,23,4R
24,1,5102,原田雄次,23,福岡,52,B1,4.05,23.28,3.23,15.38,41.54,36.41,2022_1_23_23_5R,23,5R
25,2,4276,鈴木勝博,38,愛知,53,A1,7.29,63.64,5.91,45.45,32.88,35.96,2022_1_23_23_5R,23,5R
26,3,4557,松尾光広,32,岡山,56,B1,3.78,17.19,4.36,30.91,28.95,34.74,2022_1_23_23_5R,23,5R
27,4,3662,大庭元明,52,福岡,53,A2,6.41,50.34,5.44,36.25,16.67,28.57,2022_1_23_23_5R,23,5R
28,5,4640,山ノ内雅,30,福岡,52,A2,6.00,44.12,6.00,50.00,26.25,29.05,2022_1_23_23_5R,23,5R
29,6,4090,中村尊,41,埼玉,53,A2,6.24,45.28,6.11,46.43,38.89,42.70,2022_1_23_23_5R,23,5R
30,1,3858,織田猛,48,佐賀,52,B1,3.76,20.73,4.21,23.40,32.89,27.17,2022_1_23_23_6R,23,6R
31,2,4695,尾崎雄二,36,長崎,53,B1,4.34,15.96,3.93,22.50,23.88,33.52,2022_1_23_23_6R,23,6R
32,3,4410,井上大輔,35,岡山,52,A2,5.81,40.77,4.86,28.57,55.26,25.14,2022_1_23_23_6R,23,6R
33,4,4506,稗田聖也,33,福岡,53,A2,5.70,39.37,5.93,40.35,23.19,27.75,2022_1_23_23_6R,23,6R
34,5,3478,嶋田貴支,51,香川,52,A2,5.42,33.33,4.21,23.53,32.35,26.29,2022_1_23_23_6R,23,6R
35,6,3443,森秋光,52,岡山,54,A2,5.77,37.76,5.00,28.95,39.47,30.65,2022_1_23_23_6R,23,6R
36,1,4874,池田奈津,28,福岡,53,B1,4.07,17.28,3.21,10.53,19.05,37.37,2022_1_23_23_7R,23,7R
37,2,3773,津留浩一,47,長崎,55,B1,4.60,25.83,4.04,21.05,20.97,31.94,2022_1_23_23_7R,23,7R
38,3,4230,濱崎直矢,38,埼玉,53,A1,6.33,48.15,0.00,0.00,26.76,36.22,2022_1_23_23_7R,23,7R
39,4,5148,松本怜,27,福岡,47,B2,2.12,3.37,0.00,0.00,40.82,35.45,2022_1_23_23_7R,23,7R
40,5,5227,川原愛未,19,福岡,47,B2,1.79,4.17,0.00,0.00,37.50,31.58,2022_1_23_23_7R,23,7R
41,6,4065,金田幸子,42,岡山,43,A2,5.61,40.34,4.60,30.00,23.53,25.42,2022_1_23_23_7R,23,7R
42,1,3964,宮地博士,42,長崎,55,B1,4.08,13.27,3.43,4.35,17.39,33.87,2022_1_23_23_8R,23,8R
43,2,3775,泉啓文,47,岡山,59,B1,4.43,26.42,5.09,33.33,23.61,24.71,2022_1_23_23_8R,23,8R
44,3,3741,松尾基成,47,福岡,57,B1,4.57,23.15,5.60,46.67,24.36,30.51,2022_1_23_23_8R,23,8R
45,4,3573,前本泰和,49,広島,51,A1,7.43,49.44,8.04,69.23,40.26,36.21,2022_1_23_23_8R,23,8R
46,5,5193,米丸乃絵,20,福岡,47,B2,1.79,3.77,2.50,0.00,36.17,36.02,2022_1_23_23_8R,23,8R
47,6,4734,安河内将,32,佐賀,51,A1,6.34,42.86,6.84,53.47,32.47,31.03,2022_1_23_23_8R,23,8R
48,1,3784,中島友和,45,佐賀,52,B1,5.09,34.75,5.91,48.35,26.03,35.98,2022_1_23_23_9R,23,9R
49,2,3439,大平誉史,52,大阪,52,A2,5.71,41.80,5.49,40.54,21.57,40.32,2022_1_23_23_9R,23,9R
50,3,3892,草場康幸,45,佐賀,53,B1,4.94,30.16,5.45,35.11,33.77,33.33,2022_1_23_23_9R,23,9R
51,4,4640,山ノ内雅,30,福岡,52,A2,6.00,44.12,6.00,50.00,26.25,29.05,2022_1_23_23_9R,23,9R
52,5,4143,浦田晃嗣,40,佐賀,57,B1,4.39,26.21,4.71,22.66,57.69,35.39,2022_1_23_23_9R,23,9R
53,6,4842,山下昂大,29,岡山,55,B1,5.18,26.15,5.39,38.89,31.08,31.35,2022_1_23_23_9R,23,9R
54,1,4506,稗田聖也,33,福岡,53,A2,5.70,39.37,5.93,40.35,23.19,27.75,2022_1_23_23_10R,23,10R
55,2,3915,繁野谷圭,47,大阪,52,A1,6.64,47.01,6.58,47.37,25.97,42.49,2022_1_23_23_10R,23,10R
56,3,4292,麻生慎介,36,広島,51,A1,6.45,50.77,7.07,51.85,23.94,25.75,2022_1_23_23_10R,23,10R
57,4,3435,寺田千恵,52,岡山,44,A1,6.65,48.46,7.00,60.00,34.38,40.64,2022_1_23_23_10R,23,10R
58,5,3070,山室展弘,60,岡山,51,B1,6.08,43.40,6.74,48.39,12.07,27.75,2022_1_23_23_10R,23,10R
59,6,4652,酒見峻介,36,佐賀,52,A2,6.32,45.65,5.15,32.10,16.90,36.70,2022_1_23_23_10R,23,10R
60,1,4650,中山雄太,37,愛知,53,A1,6.04,37.50,6.60,50.00,22.54,37.02,2022_1_23_23_11R,23,11R
61,2,3478,嶋田貴支,51,香川,52,A2,5.42,33.33,4.21,23.53,32.35,26.29,2022_1_23_23_11R,23,11R
62,3,3662,大庭元明,52,福岡,53,A2,6.41,50.34,5.44,36.25,16.67,28.57,2022_1_23_23_11R,23,11R
63,4,3568,木村光宏,50,香川,53,A2,5.75,41.80,5.95,54.55,41.79,32.97,2022_1_23_23_11R,23,11R
